foodurl,ingredients
"/recipe/nutrition/pots-of-passion-fruit-yogurt-with-coconut-macaroon,906976/",[]
"/recipe/nutrition/yogurt-and-chia-overnight-oats,906728/",[]
"/recipe/nutrition/guacamole-pizza,939661/",[]
"/recipe/nutrition/blueberry-chia-seed-pudding,907045/",[]
"/recipe/nutrition/ham-and-cheese-dunker-with-boiled-eggs,906676/",[]
"/recipe/nutrition/sweet-manicotti-pancakes,1181270/",[]
"/recipe/nutrition/fluffy-vegan-pancakes,386787/",[]
"/recipe/nutrition/tropical-green-fusion-smoothie,962343/",[]
"/recipe/nutrition/peach-chia-seed-pudding,906280/",[]
"/recipe/nutrition/pumpkin-spread-with-toasted-pita,334912/",[]
"/recipe/nutrition/chocolate-cherry-shake,412901/",[]
"/recipe/nutrition/strawberry-cheesecake-chia-pudding,337833/",[]
"/recipe/nutrition/blueberry-cheesecake-oatmeal,717900/",[]
"/recipe/nutrition/greek-yogurt-protein-pancakes,206184/",[]
"/recipe/nutrition/blueberry-yogurt-overnight-oats,924612/",[]
"/recipe/nutrition/grilled-monterey-jack-and-corn-quesadillas,45486/",[]
"/recipe/nutrition/pumpkin-pancakes,906227/",[]
"/recipe/nutrition/salmon-crackers,906552/",[]
"/recipe/nutrition/applesauce-pancakes,209534/",[]
"/recipe/nutrition/eggs-baked-in-avocado,211398/",[]
"/recipe/nutrition/french-crepes,976304/",[]
"/recipe/nutrition/blueberry-smoothie,413009/",[]
"/recipe/nutrition/asparagus-canadian-bacon-and-cheese-frittata,961653/",[]
"/recipe/nutrition/broccoli-feta-omelet-with-toast,1030012/",[]
"/recipe/nutrition/chia-pudding,939662/",[]
"/recipe/nutrition/cheesy-chorizo-frittata,986448/",[]
"/recipe/nutrition/lemon-and-vanilla-chia-pudding,338107/",[]
"/recipe/nutrition/green-am-smoothie,929997/",[]
"/recipe/nutrition/peach-yogurt-parfait,905755/",[]
"/recipe/nutrition/make-ahead-bacon-and-cheese-breakfast-burritos,999021/",[]
"/recipe/nutrition/protein-breakfast-burrito,736430/",[]
"/recipe/nutrition/pepper-and-hummus-toast,905662/",[]
"/recipe/nutrition/cranberry-and-flax-smoothie,905529/",[]
"/recipe/nutrition/asparagus-fontina-and-tomato-frittata,35012/",[]
"/recipe/nutrition/sriracha-scrambled-eggs-and-ham,907023/",[]
"/recipe/nutrition/scrambled-eggs-with-smoked-salmon,963093/",[]
"/recipe/nutrition/5-minute-honey-yogurt-quinoa-parfait,967745/",[]
"/recipe/nutrition/rice-cake-with-peanut-butter-coconut-and-dried-cra,905815/",[]
"/recipe/nutrition/fluffy-omelet-with-cheese-and-zucchini,906750/",[]
"/recipe/nutrition/keto-oatmeal,390611/",[]
"/recipe/nutrition/blueberry-and-sunflower-seed-steel-cut-oatmeal,1030027/",[]
"/recipe/nutrition/ham-egg-beaters-and-mushroom-scramble,928010/",[]
"/recipe/nutrition/gluten-free-quinoa-pancakes,905663/",[]
"/recipe/nutrition/matcha-scrambled-eggs-with-lime,717809/",[]
"/recipe/nutrition/overnight-chilled-honey-cinnamon-oats,906255/",[]
