user_id,meal_id,ratings,meal_type
0,3630,4,breakfast
4,3630,4,breakfast
8,3630,5,breakfast
10,3630,8,breakfast
11,3630,4,breakfast
12,3630,5,breakfast
18,3630,7,breakfast
43,3630,5,breakfast
54,3630,6,breakfast
57,3630,5,breakfast
62,3630,9,breakfast
72,3630,5,breakfast
80,3630,9,breakfast
89,3630,4,breakfast
97,3630,6,breakfast
102,3630,6,breakfast
114,3630,4,breakfast
121,3630,4,breakfast
135,3630,9,breakfast
139,3630,5,breakfast
142,3630,10,breakfast
143,3630,4,breakfast
179,3630,8,breakfast
180,3630,5,breakfast
181,3630,7,breakfast
192,3630,5,breakfast
207,3630,10,breakfast
213,3630,10,breakfast
215,3630,7,breakfast
217,3630,9,breakfast
221,3630,7,breakfast
223,3630,9,breakfast
225,3630,7,breakfast
251,3630,4,breakfast
252,3630,7,breakfast
259,3630,10,breakfast
263,3630,8,breakfast
277,3630,8,breakfast
288,3630,10,breakfast
290,3630,8,breakfast
306,3630,7,breakfast
313,3630,6,breakfast
318,3630,5,breakfast
327,3630,8,breakfast
357,3630,9,breakfast
361,3630,7,breakfast
370,3630,5,breakfast
374,3630,10,breakfast
378,3630,6,breakfast
392,3630,7,breakfast
397,3630,7,breakfast
402,3630,6,breakfast
403,3630,4,breakfast
406,3630,7,breakfast
416,3630,4,breakfast
421,3630,4,breakfast
473,3630,5,breakfast
477,3630,8,breakfast
491,3630,8,breakfast
502,3630,6,breakfast
513,3630,8,breakfast
517,3630,9,breakfast
524,3630,7,breakfast
525,3630,8,breakfast
534,3630,7,breakfast
539,3630,9,breakfast
548,3630,4,breakfast
554,3630,8,breakfast
557,3630,5,breakfast
569,3630,7,breakfast
570,3630,4,breakfast
573,3630,7,breakfast
575,3630,10,breakfast
577,3630,10,breakfast
588,3630,6,breakfast
600,3630,8,breakfast
605,3630,10,breakfast
611,3630,6,breakfast
619,3630,8,breakfast
633,3630,8,breakfast
636,3630,5,breakfast
640,3630,9,breakfast
642,3630,9,breakfast
652,3630,7,breakfast
677,3630,10,breakfast
678,3630,10,breakfast
685,3630,10,breakfast
707,3630,6,breakfast
721,3630,9,breakfast
726,3630,4,breakfast
736,3630,6,breakfast
740,3630,9,breakfast
748,3630,9,breakfast
753,3630,10,breakfast
761,3630,6,breakfast
772,3630,4,breakfast
777,3630,9,breakfast
780,3630,10,breakfast
785,3630,9,breakfast
788,3630,7,breakfast
791,3630,8,breakfast
801,3630,5,breakfast
803,3630,10,breakfast
807,3630,4,breakfast
820,3630,4,breakfast
827,3630,6,breakfast
846,3630,10,breakfast
848,3630,5,breakfast
867,3630,10,breakfast
885,3630,4,breakfast
886,3630,8,breakfast
890,3630,6,breakfast
895,3630,9,breakfast
905,3630,5,breakfast
908,3630,4,breakfast
917,3630,6,breakfast
923,3630,10,breakfast
928,3630,6,breakfast
943,3630,8,breakfast
944,3630,4,breakfast
950,3630,4,breakfast
953,3630,8,breakfast
958,3630,5,breakfast
962,3630,7,breakfast
966,3630,7,breakfast
968,3630,6,breakfast
970,3630,10,breakfast
988,3630,8,breakfast
991,3630,6,breakfast
993,3630,6,breakfast
994,3630,5,breakfast
997,3630,4,breakfast
999,3630,9,breakfast
1010,3630,8,breakfast
1019,3630,4,breakfast
1021,3630,10,breakfast
1025,3630,10,breakfast
1027,3630,8,breakfast
1028,3630,4,breakfast
1043,3630,4,breakfast
1044,3630,10,breakfast
1045,3630,10,breakfast
1057,3630,10,breakfast
1062,3630,6,breakfast
1079,3630,8,breakfast
1080,3630,7,breakfast
1090,3630,10,breakfast
1110,3630,6,breakfast
1122,3630,10,breakfast
1123,3630,4,breakfast
1138,3630,8,breakfast
1142,3630,9,breakfast
1152,3630,8,breakfast
1160,3630,4,breakfast
1163,3630,6,breakfast
1168,3630,7,breakfast
1174,3630,5,breakfast
1175,3630,5,breakfast
1185,3630,6,breakfast
1189,3630,6,breakfast
1201,3630,8,breakfast
1210,3630,7,breakfast
1226,3630,6,breakfast
1232,3630,9,breakfast
1240,3630,4,breakfast
1243,3630,6,breakfast
1257,3630,5,breakfast
1272,3630,10,breakfast
1280,3630,8,breakfast
1283,3630,10,breakfast
1302,3630,4,breakfast
1305,3630,5,breakfast
1307,3630,4,breakfast
1313,3630,10,breakfast
1320,3630,4,breakfast
1325,3630,4,breakfast
1327,3630,7,breakfast
1340,3630,10,breakfast
1344,3630,7,breakfast
1347,3630,4,breakfast
1356,3630,9,breakfast
1369,3630,4,breakfast
1372,3630,10,breakfast
1376,3630,9,breakfast
1379,3630,4,breakfast
1384,3630,5,breakfast
1391,3630,9,breakfast
1394,3630,8,breakfast
1404,3630,9,breakfast
1415,3630,6,breakfast
1421,3630,7,breakfast
1437,3630,7,breakfast
1442,3630,6,breakfast
1448,3630,9,breakfast
1451,3630,7,breakfast
1458,3630,9,breakfast
1459,3630,5,breakfast
1465,3630,7,breakfast
1466,3630,5,breakfast
1468,3630,9,breakfast
1475,3630,5,breakfast
1481,3630,10,breakfast
1483,3630,7,breakfast
1489,3630,10,breakfast
1490,3630,5,breakfast
1495,3630,7,breakfast
1500,3630,5,breakfast
1503,3630,5,breakfast
1510,3630,9,breakfast
1512,3630,5,breakfast
1517,3630,6,breakfast
1518,3630,7,breakfast
1521,3630,9,breakfast
1522,3630,10,breakfast
1528,3630,5,breakfast
1536,3630,9,breakfast
1538,3630,10,breakfast
1539,3630,4,breakfast
1548,3630,9,breakfast
1550,3630,6,breakfast
1553,3630,9,breakfast
1565,3630,6,breakfast
1570,3630,10,breakfast
1572,3630,9,breakfast
1573,3630,5,breakfast
1576,3630,6,breakfast
1598,3630,10,breakfast
1605,3630,9,breakfast
1606,3630,7,breakfast
1640,3630,6,breakfast
1645,3630,10,breakfast
1650,3630,9,breakfast
1652,3630,8,breakfast
1655,3630,4,breakfast
1656,3630,6,breakfast
1677,3630,5,breakfast
1701,3630,5,breakfast
1705,3630,7,breakfast
1715,3630,5,breakfast
1731,3630,10,breakfast
1737,3630,10,breakfast
1742,3630,9,breakfast
1747,3630,10,breakfast
1752,3630,9,breakfast
1764,3630,9,breakfast
1766,3630,4,breakfast
1772,3630,10,breakfast
1775,3630,7,breakfast
1792,3630,9,breakfast
1794,3630,10,breakfast
1803,3630,10,breakfast
1823,3630,7,breakfast
1825,3630,4,breakfast
1832,3630,8,breakfast
1837,3630,5,breakfast
1860,3630,6,breakfast
1866,3630,5,breakfast
1869,3630,9,breakfast
1872,3630,4,breakfast
1878,3630,10,breakfast
1885,3630,9,breakfast
1893,3630,5,breakfast
1909,3630,8,breakfast
1910,3630,10,breakfast
1918,3630,4,breakfast
1934,3630,9,breakfast
1937,3630,9,breakfast
1940,3630,5,breakfast
1948,3630,4,breakfast
1963,3630,8,breakfast
1972,3630,7,breakfast
1994,3630,10,breakfast
2007,3630,10,breakfast
2020,3630,8,breakfast
2032,3630,6,breakfast
2038,3630,7,breakfast
2043,3630,7,breakfast
2046,3630,5,breakfast
2051,3630,5,breakfast
2054,3630,4,breakfast
2057,3630,6,breakfast
2059,3630,4,breakfast
2062,3630,8,breakfast
2065,3630,9,breakfast
2070,3630,9,breakfast
2071,3630,7,breakfast
2072,3630,4,breakfast
2083,3630,8,breakfast
2085,3630,5,breakfast
2087,3630,5,breakfast
2088,3630,4,breakfast
2106,3630,9,breakfast
2109,3630,8,breakfast
2116,3630,5,breakfast
2137,3630,8,breakfast
2138,3630,5,breakfast
2154,3630,5,breakfast
2163,3630,8,breakfast
2166,3630,8,breakfast
2174,3630,9,breakfast
2184,3630,7,breakfast
2192,3630,6,breakfast
2198,3630,8,breakfast
2202,3630,10,breakfast
2204,3630,4,breakfast
2217,3630,6,breakfast
2218,3630,6,breakfast
2219,3630,4,breakfast
2237,3630,6,breakfast
2242,3630,6,breakfast
2245,3630,6,breakfast
2255,3630,5,breakfast
2256,3630,5,breakfast
2257,3630,5,breakfast
2262,3630,10,breakfast
2265,3630,9,breakfast
2289,3630,10,breakfast
2290,3630,4,breakfast
2292,3630,6,breakfast
2294,3630,8,breakfast
2297,3630,4,breakfast
2312,3630,5,breakfast
2315,3630,8,breakfast
2328,3630,5,breakfast
2333,3630,9,breakfast
2341,3630,5,breakfast
2345,3630,7,breakfast
2347,3630,9,breakfast
2348,3630,10,breakfast
2349,3630,8,breakfast
2362,3630,7,breakfast
2381,3630,9,breakfast
2384,3630,9,breakfast
2390,3630,4,breakfast
2416,3630,9,breakfast
2420,3630,8,breakfast
2429,3630,8,breakfast
2430,3630,4,breakfast
2437,3630,5,breakfast
2451,3630,5,breakfast
2452,3630,7,breakfast
2456,3630,10,breakfast
2461,3630,8,breakfast
2463,3630,6,breakfast
2472,3630,8,breakfast
2484,3630,7,breakfast
2491,3630,9,breakfast
2492,3630,9,breakfast
2519,3630,5,breakfast
2526,3630,5,breakfast
2527,3630,10,breakfast
2528,3630,10,breakfast
2530,3630,4,breakfast
2538,3630,6,breakfast
2550,3630,9,breakfast
2554,3630,9,breakfast
2564,3630,10,breakfast
2571,3630,6,breakfast
2576,3630,9,breakfast
2581,3630,7,breakfast
2596,3630,9,breakfast
2618,3630,6,breakfast
2636,3630,4,breakfast
2645,3630,6,breakfast
2650,3630,10,breakfast
2653,3630,5,breakfast
2654,3630,6,breakfast
2673,3630,6,breakfast
2683,3630,7,breakfast
2686,3630,8,breakfast
2688,3630,10,breakfast
2699,3630,8,breakfast
2714,3630,6,breakfast
